Instance_name	NumCustomers	SCHNEIDER_VEH	SCHNEIDER_DIST
C101	5	2	257.750000000000
C103	5	1	176.050000000000
C206	5	1	242.550000000000
C208	5	1	158.480000000000
R104	5	2	136.690000000000
R105	5	2	156.080000000000
R202	5	1	128.780000000000
R203	5	1	179.060000000000
RC105	5	2	241.300000000000
RC108	5	2	253.930000000000
RC204	5	1	176.390000000000
RC208	5	1	167.980000000000
C101	10	3	393.760000000000
C104	10	2	273.930000000000
C202	10	1	304.060000000000
C205	10	2	228.280000000000
R102	10	3	249.190000000000
R103	10	2	207.050000000000
R201	10	1	241.510000000000
R203	10	1	218.210000000000
RC102	10	4	423.510000000000
RC108	10	3	345.930000000000
RC201	10	1	412.860000000000
RC205	10	2	325.980000000000
C103	15	3	384.290000000000
C106	15	3	275.130000000000
C202	15	2	383.620000000000
C208	15	2	300.550000000000
R102	15	5	413.930000000000
R105	15	4	336.150000000000
R202	15	2	358
R209	15	1	313.240000000000
RC103	15	4	397.670000000000
RC108	15	3	370.250000000000
RC202	15	2	394.390000000000
RC204	15	1	407.450000000000
